id;tên sách_x;tác giả;quốc gia;năm sáng tác;thể loại;tên sách_y;link Wikipedia;link hình ảnh
18;The Lord of the Rings ( chúa tể những chiếc nhẫn );J.R.R. Tolkien;Anh;1954;Tiểu thuyết/Phiêu lưu/lãng mạn;The Lord of the Rings ( chúa tể những chiếc nhẫn );https://vi.wikipedia.org/wiki/The_Lord_of_the_Rings;https://upload.wikimedia.org/wikipedia/vi/thumb/6/62/Jrrt_lotr_cover_design.jpg/250px-Jrrt_lotr_cover_design.jpg
19;Chí Phèo;Nam Cao;Việt Nam;1941;Truyện Ngắn/Hiện thực phê phán;Chí Phèo;https://vi.wikipedia.org/wiki/Chí_Phèo;https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Chi_Pheo_cover_1957.jpg/250px-Chi_Pheo_cover_1957.jpg
20;Mưa đỏ;Chu lai;Việt Nam;2016;Tiểu thuyết chiến tranh;Mưa đỏ;https://vi.wikipedia.org/wiki/Mưa_đỏ_(tiểu_thuyết);https://upload.wikimedia.org/wikipedia/vi/thumb/f/f2/Muado_sach.webp/250px-Muado_sach.webp.png
21;Việt Nam sử lược;Trần Trọng Kim;Việt Nam;1919;Lịch sử;Lịch sử Việt Nam;https://vi.wikipedia.org/wiki/Lịch_sử_Việt_Nam;https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Southeast_asia.jpg/120px-Southeast_asia.jpg
22;Đại Việt sử ký toàn thư;Ngô Sĩ Liên;Việt Nam;1479;Lịch sử / Biên niên sử;Đại Việt sử ký toàn thư;https://vi.wikipedia.org/wiki/Đại_Việt_sử_ký_toàn_thư;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/DaiVietSuKyToanThu.png/250px-DaiVietSuKyToanThu.png
23;Guns, Germs and Steel (súng, vi trùng và thép);Jared Diamond;Mỹ;1997;Phi hư cấu-Khoa học / Lịch sử nhân loại;Guns, Germs, and Steel;https://en.wikipedia.org/wiki/Guns,_Germs,_and_Steel;https://upload.wikimedia.org/wikipedia/en/f/fc/Ggas_human_soc.jpg
24;The Selfish Gene (Gen ích kỷ);Richard Dawkins;Anh;1976;Sinh học / Tiến hóa;The Selfish Gene;https://en.wikipedia.org/wiki/The_Selfish_Gene;https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/The_Selfish_Gene3.jpg/250px-The_Selfish_Gene3.jpg
25;A Brief History of Time (Lịch sử thời gian);Stephen Hawking;Anh;1988;Khoa học vũ trụ;A Brief History of Time;https://en.wikipedia.org/wiki/A_Brief_History_of_Time;https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/BriefHistoryTime.jpg/250px-BriefHistoryTime.jpg
26;Cosmos;Carl Sagan;Mỹ;1980;Thiên văn học / Khoa học phổ thông;Cosmos;https://en.wikipedia.org/wiki/Cosmos_(Carl_Sagan_book);https://upload.wikimedia.org/wikipedia/en/9/91/Cosmos_book.gif
27;The Origin of Species;Charles Darwin;Anh;1859;Sinh học tiến hóa;On the Origin of Species;https://en.wikipedia.org/wiki/On_the_Origin_of_Species;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Origin_of_Species_title_page.jpg/250px-Origin_of_Species_title_page.jpg
28;The Art of War;Tôn Tử;Trung Quốc;Thế kỷ 5 TCN;Chiến lược / Quân sự;The Art of War;https://en.wikipedia.org/wiki/The_Art_of_War;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Bamboo_book_-_unfolded_-_UCR.jpg/250px-Bamboo_book_-_unfolded_-_UCR.jpg
29;Homo Deus: Lược sử tương lai;Yuval Noah Harari;Israel;2016;Khoa học / Tư duy tương lai;Homo Deus: A Brief History of Tomorrow;https://en.wikipedia.org/wiki/Homo_Deus:_A_Brief_History_of_Tomorrow;https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Homo_Deus.jpg/250px-Homo_Deus.jpg
30;Thinking, Fast and Slow ( Tư duy nhanh và chậm);Daniel Kahneman;Mỹ;2011;Tâm lý học / Kinh tế học hành vi;Thinking, Fast and Slow;https://en.wikipedia.org/wiki/Thinking,_Fast_and_Slow;https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Thinking%2C_Fast_and_Slow.jpg/250px-Thinking%2C_Fast_and_Slow.jpg
31;The Republic;Plato;Hy Lạp;Khoảng 375 TCN;Triết học / Chính trị học;The Republic;https://en.wikipedia.org/wiki/The_Republic_(Plato);https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Politeia_beginning._Codex_Parisinus_graecus_1807.jpg/250px-Politeia_beginning._Codex_Parisinus_graecus_1807.jpg
32;The Prince;Niccolò Machiavelli;Ý;1532;Chính trị học / Xã hội;The Prince;https://en.wikipedia.org/wiki/The_Prince;https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Machiavelli_Principe_Cover_Page.jpg/250px-Machiavelli_Principe_Cover_Page.jpg
33;The Diary of a Young Girl ( nhật ký của một cô gái );Anne Frank;Hà Lan;1947;Tự truyện / Lịch sử chiến tranh;The Diary of a Young Girl;https://en.wikipedia.org/wiki/The_Diary_of_a_Young_Girl;https://upload.wikimedia.org/wikipedia/en/4/47/Het_Achterhuis_%28Diary_of_Anne_Frank%29_-_front_cover%2C_first_edition.jpg
34;The Communist Manifesto (Tuyên Ngôn Cộng sản );Karl Marx & Friedrich Engels;Đức;1848;Kinh tế chính trị / Triết lý;The Communist Manifesto;https://en.wikipedia.org/wiki/The_Communist_Manifesto;https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Communist-manifesto.png/250px-Communist-manifesto.png
35;Sapiens: A Brief History of Humankind;Yuval Noah Harari;Israel;2011;Phi hư cấu;Sapiens: A Brief History of Humankind;https://en.wikipedia.org/wiki/Sapiens:_A_Brief_History_of_Humankind;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Sapiens-_A_Brief_History_of_Humankind.png/250px-Sapiens-_A_Brief_History_of_Humankind.png
36;Bách khoa toàn thư Britannica;Nhiều tác giả;Anh;1768;Học thuật / Tổng hợp;Encyclopædia Britannica;https://en.wikipedia.org/wiki/Encyclopædia_Britannica;https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Britannica_Inc_logo.svg/250px-Britannica_Inc_logo.svg.png
37;Sự trỗi dậy của phương Tây;William H. McNeill;Mỹ;1963;Lịch sử thế giới;The Rise of the West: A History of the Human Community;https://en.wikipedia.org/wiki/The_Rise_of_the_West;https://upload.wikimedia.org/wikipedia/en/thumb/9/91/The_Rise_of_the_West.jpg/250px-The_Rise_of_the_West.jpg
